City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Mareeba,AU,2020-05-23 14:03:26,-17.0,145.43,62.01,94,100,2.26
181,Muzaffarabad,PK,2020-05-23 14:03:26,34.37,73.47,70.59,55,97,7.52
182,Loei,TH,2020-05-23 14:03:26,17.42,101.5,84.99,95,100,4.43
183,Mozelos,PT,2020-05-23 14:03:26,41.87,-8.4,79.0,43,42,12.75
184,Chapais,CA,2020-05-23 14:03:26,49.78,-74.85,41.0,44,1,9.17
185,Pokrovsk,UA,2020-05-23 14:03:26,48.28,37.18,56.73,51,68,7.65
186,Awbari,LY,2020-05-23 14:03:26,26.59,12.78,96.06,18,85,21.63
187,Clyde River,CA,2020-05-23 14:03:27,70.47,-68.59,26.6,100,90,2.24
188,Ambon,ID,2020-05-23 13:59:48,-3.7,128.18,82.99,96,100,7.96
189,Oranjestad,AW,2020-05-23 13:58:41,12.52,-70.03,84.2,74,40,20.8
190,Ciudad Bolivar,VE,2020-05-23 14:03:27,8.12,-63.55,89.26,48,55,11.77
191,Airai,TL,2020-05-23 14:03:27,-8.93,125.41,60.33,100,99,4.34
192,Ekibastuz,KZ,2020-05-23 14:03:27,51.67,75.37,75.49,50,36,0.76
193,Fairbanks,US,2020-05-23 14:00:03,64.84,-147.72,50.0,80,1,0.92
194,Goderich,CA,2020-05-23 14:03:28,43.75,-81.72,66.0,68,0,7.76
195,Masvingo,ZW,2020-05-23 14:03:28,-20.06,30.83,70.7,35,0,7.49
196,Skibbereen,IE,2020-05-23 13:58:36,51.55,-9.27,59.0,54,75,26.4
197,Palana,RU,2020-05-23 14:03:28,59.12,159.97,31.69,95,0,2.39
198,Fortuna,US,2020-05-23 14:03:28,40.6,-124.16,48.99,93,1,4.7
199,Hualmay,PE,2020-05-23 14:03:28,-11.1,-77.61,66.24,74,97,1.59
200,Acajutla,SV,2020-05-23 14:00:20,13.59,-89.83,75.0,98,65,1.01
201,Fuerte,PH,2020-05-23 14:03:28,17.54,120.36,82.94,78,100,12.08
202,Akyab,MM,2020-05-23 14:03:29,20.15,92.9,84.63,78,36,7.38
203,Oksfjord,NO,2020-05-23 14:03:29,70.24,22.35,57.2,30,94,21.92
204,Cockburn Town,TC,2020-05-23 14:03:29,21.46,-71.14,80.46,84,100,12.66
205,Te Anau,NZ,2020-05-23 14:03:29,-45.42,167.72,47.25,88,100,1.39
206,Paamiut,GL,2020-05-23 14:03:29,61.99,-49.67,46.49,55,0,9.69
207,Codrington,AU,2020-05-23 13:59:18,-38.27,141.97,52.02,75,100,13.4
208,Faanui,PF,2020-05-23 14:03:29,-16.48,-151.75,80.22,77,20,22.46
209,Lagdo,CM,2020-05-23 14:03:30,9.05,13.73,102.2,33,20,8.05
210,Tasiilaq,GL,2020-05-23 14:03:30,65.61,-37.64,46.4,65,40,2.24
211,Grand Forks,US,2020-05-23 14:03:30,47.93,-97.03,62.6,82,75,9.17
212,Miranda De Ebro,ES,2020-05-23 14:03:30,42.69,-2.95,57.2,76,75,16.11
213,Barentu,ER,2020-05-23 14:03:30,15.11,37.59,92.73,28,23,10.83
214,Mogocha,RU,2020-05-23 14:03:30,53.73,119.77,41.86,71,91,8.84
215,Farah,AF,2020-05-23 14:03:31,32.5,62.5,92.21,10,0,1.43
216,Opportunity,US,2020-05-23 14:03:31,47.65,-117.24,48.2,70,90,6.93
217,Alofi,NU,2020-05-23 14:01:04,-19.06,-169.92,75.2,100,2,5.82
218,Angoche,MZ,2020-05-23 14:03:31,-16.23,39.91,77.63,69,0,12.15
219,Havre-Saint-Pierre,CA,2020-05-23 14:03:31,50.23,-63.6,42.8,30,1,9.17
220,Frontignan,FR,2020-05-23 14:03:32,43.45,3.75,80.6,54,100,17.22
221,Aklavik,CA,2020-05-23 14:03:32,68.22,-135.01,41.0,60,5,8.05
222,Bileca,BA,2020-05-23 14:03:32,42.87,18.43,71.6,49,54,5.82
223,Cidreira,BR,2020-05-23 13:58:38,-30.18,-50.21,60.24,77,94,15.84
224,Kropotkin,RU,2020-05-23 14:03:32,45.44,40.58,58.6,66,52,7.52
